,movie,year,imdb,metascore,votes,n_imdb
0,Gladiador,2000,8.5,67,1086524,85.0
1,Amnésia,2000,8.5,80,934208,85.0
2,Snatch: Porcos e Diamantes,2000,8.3,55,657816,83.0
3,Réquiem Para um Sonho,2000,8.3,68,633577,83.0
4,X-Men: O Filme,2000,7.4,64,494967,74.0
5,Náufrago,2000,7.8,73,431887,78.0
6,Psicopata Americano,2000,7.6,64,392990,76.0
7,Corpo Fechado,2000,7.2,62,282006,72.0
8,Entrando Numa Fria,2000,7.0,73,276159,70.0
9,Missão: Impossível 2,2000,6.1,59,261432,61.0
10,"E Aí, Meu Irmão, Cadê Você?",2000,7.8,69,243228,78.0
11,60 Segundos,2000,6.5,35,231512,65.0
12,O Tigre E o Dragão,2000,7.9,93,228611,79.0
13,O Patriota,2000,7.2,63,222297,72.0
14,Quase Famosos,2000,7.9,90,220808,79.0
15,Eclipse Mortal,2000,7.1,49,203841,71.0
16,Todo Mundo em Pânico,2000,6.2,48,200230,62.0
17,"Eu, Eu Mesmo e Irene",2000,6.6,49,197240,66.0
18,Premonição,2000,6.7,36,195278,67.0
19,A Praia,2000,6.6,43,192291,66.0
20,Amores Brutos,2000,8.1,83,188643,81.0
21,Traffic: Ninguém Sai Limpo,2000,7.6,86,177974,76.0
22,Duelo de Titãs,2000,7.8,48,172366,78.0
23,Do Que as Mulheres Gostam,2000,6.4,47,169689,64.0
24,Chocolate,2000,7.3,64,159257,73.0
25,O Grinch,2000,6.1,46,156175,61.0
26,As Panteras,2000,5.5,52,153429,55.0
27,Miss Simpatia,2000,6.2,43,151589,62.0
28,A Fuga das Galinhas,2000,7.0,88,151167,70.0
29,Alta Fidelidade,2000,7.5,79,150743,75.0
30,Batalha Real,2000,7.7,81,148451,77.0
31,Erin Brockovich: Uma Mulher de Talento,2000,7.3,73,146036,73.0
32,A Nova Onda do Imperador,2000,7.3,70,142701,73.0
33,Caindo na Estrada,2000,6.5,55,140852,65.0
34,Mar em Fúria,2000,6.4,59,139784,64.0
35,"Cara, Cadê Meu Carro?",2000,5.5,30,122244,55.0
36,O Homem Sem Sombra,2000,5.7,24,108154,57.0
37,Pânico 3,2000,5.5,56,105779,55.0
38,O 6º Dia,2000,5.9,49,105088,59.0
39,Billy Elliot,2000,7.7,74,104858,77.0
40,Bater ou Correr,2000,6.6,77,104004,66.0
41,Revelação,2000,6.6,51,103843,66.0
42,A Corrente do Bem,2000,7.2,40,101917,72.0
43,Meu Vizinho Mafioso,2000,6.7,47,95733,67.0
44,Show Bar,2000,5.6,27,95562,56.0
45,Homens de Honra,2000,7.2,56,95191,72.0
46,Um Homem de Família,2000,6.7,42,90856,67.0
47,Alta Freqüência,2000,7.4,67,88163,74.0
48,Amor à Flor da Pele,2000,8.1,85,87604,81.0
49,Endiabrado,2000,6.0,49,86381,60.0
50,Um Diabo Diferente,2000,5.3,38,85764,53.0
51,Dançando no Escuro,2000,8.0,61,85719,80.0
52,A Cela,2000,6.3,40,84539,63.0
53,Encontrando Forrester,2000,7.3,62,75837,73.0
54,Teenagers: As Apimentadas,2000,6.0,52,74889,60.0
55,Malena,2000,7.5,54,72112,75.0
56,Vovó... Zona,2000,5.1,33,71410,51.0
57,U-571: A Batalha do Atlântico,2000,6.6,62,68870,66.0
58,A Reconquista,2000,2.4,9,68336,24.0
59,O Caminho Para El Dorado,2000,6.9,51,66218,69.0
60,Cowboys do Espaço,2000,6.4,73,63921,64.0
61,Missão: Marte,2000,5.6,34,63715,56.0
