,Code,IES_name,Number_employees
0,26257 ,CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS ,1841
1,26256 ,CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA ,1572
2,26201 ,COLEGIO PEDRO II ,2345
3,26443 ,EMPRESA BRAS. DE SERVICOS HOSPITALARES ,25750
4,26298 ,FUND COORD APERF PESSOAL NIVEL SUPERIOR ,409
5,26350 ,FUND. UNIV FEDERAL DA GRANDE DOURADOS ,1585
6,26285 ,FUND. UNIVERSIDADE DE SAO JOAO DEL REI ,1493
7,26268 ,FUND. UNIVERSIDADE FEDERAL DE RONDONIA ,1301
8,26284 ,FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE ,1077
9,26230 ,FUND.UNIV.FED.DO VALE DO SAO FRANCISCO ,1018
10,26292 ,FUNDACAO JOAQUIM NABUCO ,286
11,26277 ,FUNDACAO UNIV. FEDERAL DE OURO PRETO ,1893
12,26274 ,FUNDACAO UNIV. FEDERAL DE UBERLANDIA ,5552
13,26271 ,FUNDACAO UNIVERSIDADE DE BRASILIA ,6264
14,26270 ,FUNDACAO UNIVERSIDADE DO AMAZONAS ,3722
15,26257 ,CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS ,1841
16,26256 ,CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA ,1572
17,26201 ,COLEGIO PEDRO II ,2345
18,26443 ,EMPRESA BRAS. DE SERVICOS HOSPITALARES ,25750
19,26298 ,FUND COORD APERF PESSOAL NIVEL SUPERIOR ,409
20,26350 ,FUND. UNIV FEDERAL DA GRANDE DOURADOS ,1585
21,26285 ,FUND. UNIVERSIDADE DE SAO JOAO DEL REI ,1493
22,26268 ,FUND. UNIVERSIDADE FEDERAL DE RONDONIA ,1301
23,26284 ,FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE ,1077
24,26230 ,FUND.UNIV.FED.DO VALE DO SAO FRANCISCO ,1018
25,26292 ,FUNDACAO JOAQUIM NABUCO ,286
26,26277 ,FUNDACAO UNIV. FEDERAL DE OURO PRETO ,1893
27,26274 ,FUNDACAO UNIV. FEDERAL DE UBERLANDIA ,5552
28,26271 ,FUNDACAO UNIVERSIDADE DE BRASILIA ,6264
29,26270 ,FUNDACAO UNIVERSIDADE DO AMAZONAS ,3722
30,26257 ,CENTRO FED.DE EDUC.TECNOL.MINAS GERAIS ,1841
31,26256 ,CENTRO FED.EDUC.TECNOL.CELSO S. FONSECA ,1572
32,26201 ,COLEGIO PEDRO II ,2345
33,26443 ,EMPRESA BRAS. DE SERVICOS HOSPITALARES ,25750
34,26298 ,FUND COORD APERF PESSOAL NIVEL SUPERIOR ,409
35,26350 ,FUND. UNIV FEDERAL DA GRANDE DOURADOS ,1585
36,26285 ,FUND. UNIVERSIDADE DE SAO JOAO DEL REI ,1493
37,26268 ,FUND. UNIVERSIDADE FEDERAL DE RONDONIA ,1301
